session_test_id,email,age,gender,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
default_example,s,30,male,trial1,C3,100,40440,
default_example,s,30,male,trial1,C1,100,40440,
default_example,s,30,male,trial1,C2,100,40440,
default_example,s,30,male,trial1,anchor70,100,40440,
default_example,s,30,male,trial1,reference,73,40440,
default_example,s,30,male,trial1,anchor35,100,40440,
default_example,s,30,male,trial_random_1,C3,100,4234,
default_example,s,30,male,trial_random_1,reference,100,4234,
default_example,s,30,male,trial_random_1,C2,100,4234,
default_example,s,30,male,trial_random_1,C1,100,4234,
default_example,s,30,male,trial_random_2,C2,100,1658,
default_example,s,30,male,trial_random_2,C3,100,1658,
default_example,s,30,male,trial_random_2,C1,100,1658,
default_example,s,30,male,trial_random_2,reference,100,1658,
